"id_k","id_tenant","nama","status"
20,1,Semarang Great Music,0
38,2,Semarang Great Sale 2022,1
12,3,PKL Simpang 5,0
12,4,Goodfellas Resto,0
15,5,"PT Bank Negara Indonesia (Persero), Tbk.",0
15,6,"PT Bank Rakyat Indonesia (Persero), Tbk. smg",0
15,7,"PT Bank Central Asia, Tbk.",0
15,8,"PT Bank Danamon Indonesia, Tbk.",0
15,9,"PT Bank Nationalnobu, Tbk",0
19,10,Apotek Sarika Group,0
12,11,Lot28 Coffee & Bar,0
13,12,Matahari Dept. Store Simpang Lima Semarang ,0
20,13,GLOBAL ELEKTRONIK,0
31,14,Suara Merdeka,0
20,15,Seroja ELC,0
31,16,PT. Pantes Putra Jaya,0
29,17,Robinson,0
,18,Matahari Dept Store Paragon Mall Semarang,0
15,19,PermataBank,0
15,20,Bank BTN,0
15,21,Bank Mega,0
15,22,Bank Jateng,0
15,23,"PT Bank CIMB Niaga, Tbk",0
16,24,Hotel Dalu Majapahit Semarang,0
,25,HOTEL MG SUITES,0
16,26,HOTEL IBIS SEMARANG SIMPANG LIMA,0
16,27,favehotel Diponegoro Semarang,0
,28,HOTEL HARRIS SENTRALAND SEMARANG,0
16,29,HOTEL PESONNA SEMARANG,0
16,30,HOTEL SANTIKA PREMIERE SEMARANG,0
16,31,HOTEL MG SETOS,0
16,32,HOTEL MURIA,0
16,33,HOTEL QUEST SIMPANG LIMA SEMARANG,0
16,34,HOTEL @HOM SIMPANG LIMA,0
16,35,HOTEL HOLIDAY INN EXPRESS SEMARANG,0
,36,HOTEL AMARIS PEMUDA,0
16,37,HOTEL GRASIA,0
,38,HOTEL GRAND ARKENSO PARKVIEW,0
16,39,Hotel GranDhika Pemuda Semarang,0
16,40,HOTEL HA-KA,0
16,41,HOTEL CITRA DREAM,0
,42,HOTEL ASTON INN PANDANARAN,0
16,43,HOTEL CHANTI,0
,44,HOTEL CANDI INDAH,0
16,45,HOTEL RADJA ART AND BOUTIQUE,0
,46,HOTEL GUMAYA,0
16,47,PANDANARAN SIMPANG LIMA SEMARANG,0
16,48,HOTEL DAFAM SEMARANG,0
,49,HOTEL ALLSTAY,0
16,50,HOTEL HORISON NINDYA,0
16,51,HOTEL PATRA SEMARANG,0
,52,HOTEL STAR,0
16,53,HOTEL NOORMANS,0
16,54,GUMAYA TOWER HOTEL,0
16,55,HOTEL GRAND ARKENSO PARKVIEW,0
16,56,HOTEL AMARIS SIMPANGLIMA,0
16,57,HOTEL MG SUITES,0
16,58,HOTEL ASTON INN PANDANARAN,0
16,59,HOTEL STAR,0
16,60,HOTEL ALLSTAY,0
16,61,HARRIS HOTEL SENTRALAND SEMARANG,0
,62,PKL PANDANARAN 2,0
,63,PKL Batan Selatan,0
,64,PKL SE,0
32,65,Pasar Pedurungan,0
32,66,Pasar Karang ayu,0
32,67,Pasar Bulu,0
32,68,Pasar Johar,0
32,69,Pasar Jatingaleh,0
32,70,Pasar Gayamsari,0
32,71,Pasar Sampangan,0
32,72,Pasar Bunga,0
16,73,HOTEL AMARIS PEMUDA,0
16,74,HOTEL CANDI INDAH,0
13,75,Java Supermall,0
13,76,DP Mall,0
13,77,Plasa Simpang Lima,0
14,78,EC EXECUTIVE KARAOKE SEMARANG,0
14,79,Relique Executive Spa,0
14,80,KYUKYU KTV,0
